breadth,stop_atr,target_atr,hold_days,train_trades,train_return,train_win_rate,train_pf,train_dd,oos_trades,oos_return,oos_win_rate,oos_pf,oos_dd
0.46,2.0,4.0,12,18,0.16054627802721222,0.7222222222222222,4.29989007859906,-0.02404260955573116,25,0.11087381543339059,0.6,2.2198174425218893,-0.04298370484411201
0.46,2.25,3.0,10,22,0.11295278316438462,0.6818181818181818,3.1771847652265865,-0.0221626506553473,33,0.19138409956314795,0.7575757575757576,3.0942431341578485,-0.03991341215613457
0.46,2.25,3.0,12,21,0.1134479560154853,0.7142857142857143,3.3107944391053925,-0.031627846495446484,30,0.1896576652889832,0.7333333333333333,3.4096993959276993,-0.038770874434403586
0.46,2.25,3.5,10,21,0.13996073114518026,0.7142857142857143,3.874347119476221,-0.031453831870212036,29,0.1922054057900595,0.7586206896551724,3.818043242130277,-0.038770874434403586
0.46,2.25,3.5,12,20,0.18568974133380434,0.85,9.06408440840995,-0.034528917697085326,27,0.1555469924439743,0.7037037037037037,3.2923639686450623,-0.038770874434403586
0.46,2.25,4.0,10,21,0.15104140743479455,0.7142857142857143,3.7991146656723456,-0.019808947744526077,26,0.13087131609205072,0.6923076923076923,2.5672874277255575,-0.038770874434403586
0.46,2.25,4.0,12,18,0.14314942530882124,0.7222222222222222,4.03225132757669,-0.023850002117832766,25,0.09473882169415826,0.6,2.1380506812450832,-0.038770874434403586
0.5,1.75,3.0,10,23,0.1324583288554093,0.6521739130434783,2.6166702823172248,-0.03494541939342902,33,0.15489579428489453,0.6363636363636364,2.135702434275511,-0.047786346134091856
0.5,1.75,3.0,12,22,0.13480097733781493,0.6818181818181818,2.724519177032317,-0.02293227486194505,30,0.21088403386483545,0.7,3.0834689565397695,-0.047786346134091856
0.5,1.75,3.5,10,21,0.2034629989475205,0.7619047619047619,4.706910876861682,-0.025062051539403784,28,0.17631039824565176,0.7142857142857143,2.9025601028509094,-0.047786346134091856
0.5,1.75,3.5,12,22,0.26028059217941846,0.8181818181818182,7.132665686787534,-0.02363156742049844,26,0.18603281879463363,0.7307692307692307,3.3277041418123936,-0.047786346134091856
0.5,1.75,4.0,10,23,0.20629570405504305,0.6956521739130435,3.599255484123639,-0.025026668731294104,27,0.1763579170962568,0.6666666666666666,2.6990077815067304,-0.047786346134091856
0.5,1.75,4.0,12,20,0.20375725214581197,0.7,4.003376749013224,-0.02344752173453329,27,0.20116788601389612,0.5925925925925926,2.919782179054359,-0.047786346134091856
0.5,2.0,3.0,10,21,0.13978610645115652,0.7619047619047619,3.6686593357192927,-0.022697952903998807,33,0.1540148185511827,0.6666666666666666,2.2662915444657012,-0.04153165085422339
0.5,2.0,3.0,12,22,0.15714707317286036,0.7727272727272727,4.120824482198397,-0.020872569617034438,32,0.19377194652971919,0.6875,2.7515200495795673,-0.04051245748473347
