breadth,stop_atr,target_atr,hold,trades_train,return_train,win_train,pf_train,dd_train,final_train,trades_oos,return_oos,win_oos,pf_oos,dd_oos,final_oos
0.38,2.0,4.0,12,24,0.16543334342952143,0.6666666666666666,3.0305759520515037,-0.06308038341107511,116543334.34295213,25,0.15438812468866203,0.68,3.0811691123664224,-0.04332761364533739,115438812.4688662
0.38,1.5,4.0,10,28,0.23063867658511916,0.6428571428571429,2.947244521089386,-0.08474033831258032,123063867.6585119,28,0.22388820819054533,0.6785714285714286,3.0831116109306804,-0.04760307014651599,122388820.81905454
0.38,1.5,3.5,12,29,0.23339589530911709,0.6551724137931034,2.927230125593927,-0.075322275628481,123339589.53091171,29,0.24360881440328308,0.6896551724137931,3.4923957149873406,-0.05323529199873359,124360881.44032831
0.46,1.25,3.0,12,23,0.1792490872252943,0.6521739130434783,3.0292923550054183,-0.027724891969954507,117924908.72252944,31,0.23345434455892144,0.6451612903225806,2.9118796894363412,-0.05793902583217386,123345434.45589215
0.5,1.25,2.5,10,25,0.16542064516941934,0.68,2.928780076436323,-0.027781853140109496,116542064.51694193,43,0.173832494048058,0.5581395348837209,1.8677634561488345,-0.05569325212601303,117383249.4048058
0.5,1.25,2.5,12,25,0.16542064516941934,0.68,2.928780076436323,-0.027781853140109496,116542064.51694193,41,0.17181558392731522,0.5609756097560976,1.9165810033212198,-0.059618799759584694,117181558.39273153
0.46,1.25,3.5,7,24,0.17844539023524542,0.625,2.9368829805762666,-0.03095679748247765,117844539.02352455,37,0.23803259969755386,0.5675675675675675,2.477205542365279,-0.05285202724231835,123803259.96975538
0.38,2.0,3.5,10,29,0.17335660359432525,0.6896551724137931,2.877948728592782,-0.06663017559247837,117335660.35943252,32,0.18201764456876668,0.6875,2.7344783802393566,-0.04332761364533739,118201764.45687667
0.5,1.75,2.5,7,25,0.13388952848135593,0.72,2.856976950734378,-0.02475542139310913,113388952.84813559,37,0.1391854458488695,0.6756756756756757,2.103734233565498,-0.047786346134091856,113918544.58488694
0.5,1.25,3.0,12,23,0.16881416198168342,0.6521739130434783,2.9438598511886758,-0.03531984500611025,116881416.19816834,32,0.22771993682196623,0.625,2.741267648355799,-0.0577314310178179,122771993.68219662
0.46,1.75,3.5,7,24,0.15295432665862196,0.6666666666666666,2.8907320056256527,-0.02646170774847698,115295432.66586219,33,0.1480291162937435,0.6060606060606061,2.1020063734917556,-0.047786346134091856,114802911.62937434
0.5,1.75,3.0,7,24,0.13744992646718202,0.7083333333333334,2.884803461833856,-0.027368454571803556,113744992.6467182,35,0.17931335184672514,0.7142857142857143,2.6504290430143644,-0.047786346134091856,117931335.1846725
0.5,1.5,3.5,7,24,0.16845133056614214,0.6666666666666666,2.876223536994796,-0.030549442457132602,116845133.05661422,33,0.17487655885207243,0.6060606060606061,2.2119346339100594,-0.04879651518398158,117487655.88520725
0.46,2.0,2.5,12,25,0.12442656877736624,0.72,2.8311116048986165,-0.020515268777507333,112442656.87773663,36,0.17818160042856745,0.6944444444444444,2.6115671070877493,-0.04123215044797919,117818160.04285674
0.5,1.75,2.5,10,25,0.13956991436677568,0.72,2.8267456508512847,-0.02530358578558703,113956991.43667758,36,0.1315541611598925,0.6111111111111112,1.8900717468805432,-0.0500050190363114,113155416.11598924
0.38,1.5,3.5,10,29,0.2172576973311391,0.6551724137931034,2.8111498398319674,-0.08474033831258032,121725769.7331139,30,0.19015923735693097,0.6666666666666666,2.744260438403824,-0.052751546877437175,119015923.7356931
0.42,2.0,4.0,7,23,0.14245929281800085,0.6521739130434783,2.9012431069772284,-0.023492609430081475,114245929.28180009,33,0.12960358321492071,0.6363636363636364,2.0092090974052015,-0.041846436215096754,112960358.32149208
0.46,2.0,4.0,7,23,0.14245929281800085,0.6521739130434783,2.9012431069772284,-0.023492609430081475,114245929.28180009,32,0.15500723593925447,0.6875,2.3467012161958585,-0.04051245748473347,115500723.59392545
0.46,2.0,3.0,10,22,0.12148836543115649,0.6818181818181818,2.949448029530586,-0.034326570505736086,112148836.54311565,34,0.20883080511400265,0.7058823529411765,2.866976388699128,-0.04474831779925269,120883080.51140027
0.5,1.75,2.5,12,25,0.138592558487441,0.72,2.7883975306231403,-0.0230254440022846,113859255.8487441,35,0.19505278794595093,0.6857142857142857,2.592569031540433,-0.047786346134091856,119505278.79459509
0.5,2.0,3.5,7,23,0.1278407351011095,0.6956521739130435,2.8815413243040875,-0.02352758897788776,112784073.51011094,33,0.1110242008433775,0.6060606060606061,1.8485012938287997,-0.04051245748473347,111102420.08433776
0.5,2.0,4.0,10,21,0.14495415868895623,0.6666666666666666,2.947424868035031,-0.023722668144902995,114495415.86889562,26,0.1427986587703025,0.6923076923076923,2.5909752179463683,-0.04051245748473347,114279865.87703025
0.42,2.0,2.5,12,26,0.12740072948559455,0.7307692307692307,2.7247953686565447,-0.020515268777507333,112740072.94855946,36,0.1610581517506997,0.6666666666666666,2.4074182675105753,-0.04051245748473347,116105815.17506997
0.42,1.5,4.0,7,24,0.18339603486512712,0.625,2.750751772676599,-0.030563065817665897,118339603.4865127,35,0.2116252874647202,0.5714285714285714,2.274457468367469,-0.04879651518398158,121162528.74647203
0.46,1.5,4.0,7,24,0.18339603486512712,0.625,2.750751772676599,-0.030563065817665897,118339603.4865127,33,0.24999272656816007,0.6363636363636364,2.720893168626547,-0.04879651518398158,124999272.656816
0.42,2.0,3.0,10,23,0.12370392355213489,0.6956521739130435,2.809897657870025,-0.02700608502661916,112370392.35521348,34,0.20883080511400265,0.7058823529411765,2.866976388699128,-0.04474831779925269,120883080.51140027
0.38,1.75,3.5,10,29,0.17848038852562187,0.6551724137931034,2.700488190287955,-0.07164452043946247,117848038.85256219,29,0.20907172320009493,0.7241379310344828,3.821647250475411,-0.04615562142228441,120907172.3200095
0.46,1.25,2.5,7,25,0.14945725992469971,0.64,2.6600102329347064,-0.02940949214355926,114945725.99246998,42,0.21228977309382935,0.6190476190476191,2.282025238203551,-0.05735104645240955,121228977.30938293
0.46,1.75,3.0,10,24,0.1410936469654096,0.625,2.692340345201516,-0.027274188455634858,114109364.69654095,33,0.2508818003655211,0.7272727272727273,3.481615162926378,-0.047786346134091856,125088180.03655212
