breadth,stop_atr,target_atr,hold,trades,return,win_rate,pf,dd,final,score
0.5,1.75,3.5,7,56,0.3595860474085004,0.6428571428571429,2.5785939183746494,-0.051291390551533034,135958604.74085003,10.680458882774188
0.42,1.25,4.0,7,64,0.5183533899347448,0.546875,2.5308744957750435,-0.07731451755251108,151835338.99347448,10.630537864258663
0.46,1.5,4.0,7,59,0.46572624928852324,0.6101694915254238,2.5415916783044676,-0.08726001057894778,146572624.92885232,10.618971431793192
0.42,1.75,3.0,12,54,0.34414339004907335,0.6296296296296297,2.569553089558143,-0.08302680124023538,134414339.00490734,10.612323829143008
0.46,2.0,4.0,10,47,0.3070303452364058,0.6382978723404256,2.569868430459971,-0.06547146031398801,130703034.52364059,10.585683230536317
0.46,1.75,2.5,12,60,0.3507463128517454,0.6666666666666666,2.55765476826814,-0.07367266584444583,135074631.28517455,10.577862386335417
0.46,2.0,2.5,12,61,0.3221074505914958,0.6885245901639344,2.5627253868899214,-0.06468991036426848,132210745.05914958,10.575090272477244
0.5,2.0,2.5,12,61,0.3214387427791914,0.6885245901639344,2.555056372108483,-0.06520278781250684,132143874.27791914,10.543489066815068
0.42,1.25,4.0,12,54,0.4714799165135477,0.5370370370370371,2.515371797510369,-0.10209410528757033,147147991.65135476,10.50877190576309
0.46,1.25,3.5,7,63,0.45097813170393564,0.5714285714285714,2.499060221734003,-0.0807255344874886,145097813.17039356,10.435427679967633
0.46,1.25,2.5,12,65,0.42922271694052316,0.6307692307692307,2.498274172804672,-0.07220054551993858,142922271.6940523,10.417757596937705
0.46,1.25,3.0,10,62,0.44754232393079363,0.5967741935483871,2.49276295111296,-0.09050415793729813,144754232.39307937,10.403180759091402
0.46,1.5,2.5,12,63,0.4073842502728966,0.6507936507936508,2.489374307674425,-0.07682065122213758,140738425.02728966,10.35901083789921
0.38,1.75,4.0,12,53,0.3818362834360236,0.5660377358490566,2.4833238052650795,-0.09706500934472909,138183628.34360236,10.29490088661643
0.5,1.5,2.5,12,60,0.3841894662235803,0.65,2.4679654340304857,-0.06063261893534584,138418946.62235802,10.25823489287785
0.5,1.5,3.5,7,57,0.391464926487469,0.6140350877192983,2.4651059992409463,-0.05298147881992301,139146492.6487469,10.256099938427258
0.46,2.0,4.0,7,55,0.3207953775238819,0.6727272727272727,2.4785621228503865,-0.056652897854591995,132079537.75238818,10.240353783634495
0.46,1.75,2.5,7,64,0.32782625352393335,0.703125,2.4650891259404344,-0.06787229581756284,132782625.35239333,10.189402859376889
0.42,2.0,4.0,12,44,0.26029096915244887,0.6136363636363636,2.482417557888912,-0.0880649943717883,126029096.91524488,10.17661052170402
0.46,2.0,4.0,12,44,0.26029096915244887,0.6136363636363636,2.482417557888912,-0.0880649943717883,126029096.91524488,10.17661052170402
0.5,1.75,2.5,12,60,0.3397723405602955,0.6666666666666666,2.4428421508365283,-0.07523752587512733,133977234.05602956,10.106855514302179
0.46,1.5,3.0,12,56,0.3887601200568642,0.625,2.429214196909764,-0.10130438175551974,138876012.00568643,10.08621471681816
0.5,1.5,3.0,10,57,0.3897046468168863,0.6140350877192983,2.405585913256848,-0.05187355097747397,138970464.68168864,10.016813278741505
0.42,1.25,3.5,7,66,0.44003209839170543,0.5606060606060606,2.3695520506664294,-0.060377109286675175,144003209.83917055,9.916082049444388
0.38,2.0,3.0,12,62,0.32492721853722784,0.6451612903225806,2.3839086456096426,-0.07611496416126089,132492721.85372278,9.854762383411298
0.38,1.75,3.0,10,66,0.37635222718814254,0.6212121212121212,2.3625912930963326,-0.0879647049400636,137635222.71881425,9.813795653164048
0.46,1.25,2.5,10,67,0.40338956463627396,0.6119402985074627,2.3358696096302034,-0.07220054551993858,140338956.4636274,9.741364745322493
0.38,1.25,4.0,7,71,0.440321370489577,0.5492957746478874,2.3236047606587245,-0.09129150328797059,144032137.0489577,9.716559450212886
0.5,1.5,3.0,7,60,0.36226793347915476,0.6333333333333333,2.333862193182293,-0.056856319994384986,136226793.34791547,9.700955212877801
0.42,1.25,2.5,12,66,0.3965939799080258,0.6060606060606061,2.316716866718038,-0.06178845247411303,139659397.9908026,9.662870250846153
0.5,2.0,2.5,7,65,0.28064027550381154,0.7076923076923077,2.3434356672389263,-0.05806146643123226,128064027.55038115,9.660736826628515
0.46,1.75,3.5,7,57,0.3253232210113717,0.631578947368421,2.330091078368861,-0.06731425155864075,132532322.10113718,9.643609356075917
0.5,1.75,3.0,10,56,0.3241343516323538,0.625,2.3273354583723864,-0.05988311461391702,132413435.16323538,9.634784627814941
0.5,1.25,3.0,10,60,0.39750537753312476,0.5666666666666667,2.3017603490551495,-0.060939529085854115,139750537.75331247,9.60241034254413
0.42,2.0,3.5,7,59,0.31805459990446106,0.6610169491525424,2.317412727747095,-0.0489992974370624,131805459.9904461,9.596256709631936
0.42,1.75,3.5,7,59,0.3340884867423157,0.6271186440677966,2.311942106063451,-0.05185999111347159,133408848.67423157,9.587282847642774
0.46,1.25,2.5,7,70,0.3926998944901978,0.6142857142857143,2.294010151648572,-0.07218941644893755,139269989.4490198,9.563360078574302
0.42,1.5,4.0,7,61,0.4207575369848213,0.5737704918032787,2.288892868269731,-0.08726001057894778,142075753.69848213,9.561387529364435
0.38,1.25,4.0,12,59,0.42642806932432586,0.5254237288135594,2.275683807727284,-0.10271105128591634,142642806.9324326,9.504078961031182
0.42,2.0,2.5,12,62,0.2880074127083445,0.6612903225806451,2.2993731786804243,-0.06519927952745183,128800741.27083445,9.485965003795348
0.38,2.0,2.5,12,68,0.31921305319373205,0.6617647058823529,2.283988835420837,-0.06283588164397544,131921305.3193732,9.456838689349208
0.5,1.75,2.5,7,62,0.28807255900159956,0.6774193548387096,2.2896896880192834,-0.06757833169297006,128807255.90015996,9.446913112974183
0.42,1.75,2.5,12,61,0.31191495747794273,0.639344262295082,2.2845000347732243,-0.07385173166251113,131191495.74779427,9.444956443854338
0.46,2.0,3.5,7,57,0.29661655868565173,0.6491228070175439,2.275135920878238,-0.06386115502770101,129661655.86856517,9.397685805035628
0.5,1.25,3.5,7,62,0.3948043429018995,0.5483870967741935,2.2375997911695427,-0.06092665787545173,139480434.29018995,9.342159533481054
0.42,2.0,3.0,7,62,0.27953298248284897,0.6451612903225806,2.264962796201109,-0.062189501010187824,127953298.2482849,9.340547481298321
0.46,2.0,2.5,7,65,0.2722597907661084,0.7076923076923077,2.2645965198247926,-0.05967607661432292,127225979.07661083,9.336192447142732
0.42,2.0,4.0,7,56,0.29176450509926166,0.6428571428571429,2.256584779444233,-0.056652897854591995,129176450.50992616,9.321920031091755
0.42,1.25,3.0,12,60,0.3644191631462381,0.5666666666666667,2.240993836089499,-0.0967228853662352,136441916.3146238,9.30836639815445
0.42,1.5,3.0,10,63,0.3804536813984669,0.5873015873015873,2.238198592249321,-0.12104599202148152,138045368.13984668,9.30209013375009
0.38,1.75,2.5,12,70,0.3634213203278147,0.6428571428571429,2.2348625989723927,-0.07225729130462122,136342132.03278148,9.298885927707932
0.5,2.0,3.5,7,56,0.2768670400996276,0.6428571428571429,2.2455440158057454,-0.04439191348540441,127686704.00996277,9.268990003722763
0.42,1.5,2.5,12,64,0.3624491859227852,0.625,2.216232322336694,-0.06639844668300147,136244918.5922785,9.225429251928059
0.46,1.25,3.0,7,66,0.37745535072049985,0.5757575757575758,2.2132798692919913,-0.0914692863414368,137745535.07204998,9.213628063505626
0.46,2.0,3.0,7,59,0.2658075362688712,0.6610169491525424,2.237601683907133,-0.0747334821559038,126580753.62688711,9.211898378277079
0.5,1.5,2.5,7,63,0.32737518539823185,0.6349206349206349,2.2193579987009593,-0.0600790445853849,132737518.53982319,9.206513689655408
